사용처,scene_id,순서,화자,대화내용,배경이미지,효과,타입,파일경로
ep1_briefing,briefing,1,NARRATOR,작전 브리핑을 시작합니다. 목표: 지구 궤도 정찰 및 생존자 신호 추적.,bg_command.jpg,,DIALOGUE,assets\data\episodes\ep1\ep1.json
,,2,ARTEMIS,3년 만에 돌아온 고향이야. 어떤 모습일지...,,,,
ep1_opening,opening,1,NARRATOR,지구 궤도 진입 완료. 대기권 오염도 치명적 수준입니다.,bg_ruins.jpg,,DIALOGUE,assets\data\episodes\ep1\ep1.json
,,2,PILOT,3년 만이야... 이게 우리가 떠났던 그 푸른 행성이라고?,,,,
,,3,ARTEMIS,감상에 젖을 시간 없어. 생존자 신호에 집중해.,,,,
,,4,PILOT,안드로메다인들은 왜 우리를 구한 걸까? 멸망한 종족에게 뭘 기대하는 거지?,,,,
,,5,ARTEMIS,글쎄. 하지만 이유가 뭐든 난 이 기회를 낭비할 생각 없어.,,,,
,,6,NARRATOR,경고. 카이론 순찰대 접근. 전투 준비를 권고합니다.,,,,
,,7,ARTEMIS,"좋아, 시작하자. 지구는 아직 끝나지 않았어.",,,,
,,8,PILOT,...우리가 마지막이라니. 무거운 짐이군.,,,,
ep1_mid_01,mid_01,1,ARTEMIS,첫 번째 파도를 물리쳤다. 하지만 끝이 아니야.,bg_ruins.jpg,,DIALOGUE,assets\data\episodes\ep1\ep1.json
,,2,PILOT,추가 적 부대 감지! 더 많은 카이론이 오고 있어!,,,,
,,3,NARRATOR,경고. 대형 함선 접근 중. 정찰대 지휘관으로 추정됩니다.,,,,
,,4,ARTEMIS,"지휘관이라... 좋아, 한 번에 정리하자.",,,,
ep1_memory,memory,1,ARTEMIS,...우리 가족. 집 앞 작은 정원에서 찍은 사진이야.,bg_cemetery.jpg,,DIALOGUE,assets\data\episodes\ep1\ep1.json
,,2,ARTEMIS,"그날, 하늘이 갈라졌어. 불기둥이 내려왔고...",,,,
,,3,ARTEMIS,"모든 게 사라졌어. 사람들도, 도시도, 희망도.",,,,
,,4,PILOT,아르테미스...,,,,
,,5,ARTEMIS,괜찮아. 이제는 복수할 힘이 있으니까.,,,,
ep1_boss,boss,1,NARRATOR,경고. 대형 적 반응. 섀도우 스카웃 지휘관입니다.,bg_ruins.jpg,,DIALOGUE,assets\data\episodes\ep1\ep1.json
,,2,ARTEMIS,드디어 진짜 상대가 나타났군.,,,,
,,3,PILOT,조심해! 일반 카이론과는 비교도 안 되는 화력이야!,,,,
